Longitude	Latitude	Elevation, m	Distance (km)
-157.67657	21.428877	-331.38535	12.386205
-157.67593	21.42887	-336.03094	12.452089
-157.6753	21.42886	-340.5773	12.517974
-157.67467	21.42885	-345.71124	12.5838585
-157.67403	21.428843	-349.86707	12.649743
-157.67339	21.428833	-347.3066	12.715628
-157.67276	21.428823	-354.26508	12.781512
-157.67212	21.428814	-360.7689	12.847397
-157.67148	21.428806	-366.34894	12.913281
-157.67085	21.428797	-386.0585	12.979166
-157.67021	21.428787	-388.57632	13.045051
-157.66957	21.42878	-391.57468	13.110935
-157.66893	21.42877	-394.9203	13.17682
-157.6683	21.42876	-398.69495	13.242704
-157.66766	21.428753	-403.70023	13.308589
-157.66702	21.428743	-409.58548	13.374474
-157.6664	21.428734	-415.74457	13.440358
-157.66576	21.428726	-421.91818	13.506243
-157.66512	21.428717	-427.77252	13.572127
-157.66447	21.428707	-433.34055	13.638012
-157.66385	21.4287	-438.5791	13.7038965
-157.66321	21.42869	-443.3855	13.769781
-157.66257	21.42868	-447.96677	13.835666
-157.66194	21.428673	-452.44373	13.90155
-157.6613	21.428663	-457.4687	13.967435
-157.66066	21.428654	-463.55286	14.033319
-157.66002	21.428646	-470.48798	14.099204
-157.6594	21.428637	-478.8031	14.165089
-157.65875	21.428627	-489.8106	14.230973
-157.65811	21.42862	-502.90118	14.296858
-157.65749	21.42861	-517.5962	14.362742
-157.65685	21.4286	-533.9493	14.428627
-157.6562	21.42859	-551.4172	14.494512
-157.65556	21.428583	-568.44617	14.560396
-157.65494	21.428574	-583.4605	14.626281
-157.6543	21.428564	-594.20715	14.692165
-157.65366	21.428556	-601.3194	14.75805
-157.65303	21.428547	-604.94434	14.823935
-157.65239	21.428537	-607.03503	14.889819
-157.65175	21.42853	-608.6236	14.955704
-157.65112	21.42852	-610.72626	15.021588
-157.65048	21.42851	-613.0967	15.087473
-157.64984	21.428503	-615.4633	15.1533575
-157.6492	21.428493	-617.5306	15.219242
-157.64857	21.428484	-619.2065	15.285127
-157.64793	21.428476	-621.55566	15.351011
-157.6473	21.428467	-624.7157	15.416896
-157.64667	21.428457	-628.4471	15.48278
-157.64603	21.42845	-633.01215	15.548665
-157.64539	21.42844	-638.6871	15.61455
-157.64474	21.42843	-645.2056	15.680434
-157.64412	21.428423	-652.15515	15.746319
-157.64348	21.428413	-658.42865	15.812203
-157.64284	21.428404	-663.4965	15.878088
-157.64221	21.428396	-666.6766	15.943973
-157.64157	21.428387	-668.3645	16.009857
-157.64093	21.428377	-668.79065	16.075743
-157.64029	21.42837	-669.25916	16.141628
-157.63966	21.42836	-672.4026	16.207512
-157.63902	21.42835	-675.5201	16.273396
-157.63838	21.42834	-677.8112	16.339281
-157.63776	21.428333	-680.6595	16.405167
-157.63712	21.428324	-683.02277	16.471052
-157.63647	21.428314	-685.6654	16.536938
-157.63583	21.428307	-682.446	16.602823
-157.63521	21.428297	-683.5714	16.668709
-157.63457	21.428288	-685.88586	16.734594
-157.63393	21.42828	-687.8894	16.80048
-157.6333	21.42827	-689.9519	16.866365
-157.63266	21.42826	-692.18604	16.932251
-157.63202	21.428253	-694.607	16.998137
-157.6314	21.428244	-696.8433	17.064022
-157.63075	21.428234	-698.90784	17.129908
-157.63011	21.428226	-700.9149	17.195793
-157.62947	21.428217	-702.61707	17.261679
-157.62885	21.428207	-703.85864	17.327564
-157.6282	21.4282	-705.1173	17.393448
-157.62756	21.42819	-706.45514	17.459333
-157.62694	21.42818	-707.73114	17.525219
-157.6263	21.428173	-708.8974	17.591105
-157.62566	21.428164	-709.9041	17.65699
-157.62502	21.428154	-710.6291	17.722876
-157.62439	21.428146	-711.0268	17.788761
-157.62375	21.428137	-711.26184	17.854647
-157.62311	21.428127	-711.4262	17.920532
-157.62248	21.428118	-711.64154	17.986418
-157.62184	21.42811	-711.8393	18.052303
-157.6212	21.4281	-711.9332	18.118189
-157.62056	21.428091	-712.74835	18.184074
-157.61993	21.428083	-714.3087	18.24996
-157.6193	21.428074	-715.7156	18.315845
-157.61865	21.428064	-716.58185	18.381731
-157.61803	21.428057	-716.2854	18.447617
-157.61739	21.428047	-715.16846	18.513502
-157.61674	21.428038	-713.38324	18.579388
-157.6161	21.42803	-711.64014	18.645273
-157.61548	21.42802	-709.9669	18.711159
-157.61484	21.42801	-707.7314	18.777044
-157.6142	21.428003	-705.32324	18.84293
-157.61357	21.427994	-703.1673	18.908815
-157.61293	21.427984	-700.8139	18.9747
-157.61229	21.427977	-698.16815	19.040586
-157.61165	21.427967	-695.90234	19.106472
-157.61102	21.427958	-693.826	19.172358
-157.61038	21.42795	-691.91565	19.238243
-157.60974	21.42794	-688.518	19.304129
-157.60912	21.42793	-681.8429	19.370014
-157.60847	21.427923	-676.79535	19.4359
-157.60783	21.427914	-674.44574	19.501785
-157.60721	21.427904	-672.4599	19.56767
-157.60657	21.427896	-670.6236	19.633556
-157.60593	21.427887	-668.6211	19.699442
-157.60529	21.427877	-666.71906	19.765327
-157.60466	21.427868	-665.039	19.831213
-157.60402	21.42786	-663.398	19.897099
-157.60338	21.42785	-661.8106	19.962984
-157.60275	21.427841	-660.36005	20.02887
-157.60211	21.427834	-659.09033	20.094755
-157.60147	21.427824	-658.0255	20.16064
-157.60083	21.427814	-657.4645	20.226526
-157.6002	21.427807	-656.90216	20.292412
-157.59956	21.427797	-655.93286	20.358297
-157.59892	21.427788	-655.07214	20.424183
-157.5983	21.42778	-655.1881	20.490068
-157.59766	21.42777	-653.9427	20.555954
-157.59702	21.427761	-652.0935	20.62184
-157.59637	21.427753	-651.98364	20.687725
-157.59575	21.427744	-652.8706	20.75361
-157.59511	21.427734	-654.3461	20.819496
-157.59447	21.427727	-656.1173	20.885382
-157.59384	21.427717	-657.84033	20.951267
-157.5932	21.427708	-659.5934	21.017153
-157.59256	21.4277	-661.3464	21.083038
-157.59192	21.42769	-662.43994	21.148924
-157.5913	21.427681	-663.04315	21.21481
-157.59065	21.427673	-664.0076	21.280695
-157.59001	21.427664	-665.2925	21.34658
-157.58939	21.427654	-666.97925	21.412466
-157.58875	21.427645	-668.50354	21.478352
-157.5881	21.427637	-669.6342	21.544237
-157.58748	21.427628	-670.7242	21.610123
-157.58684	21.427618	-671.8305	21.676008
-157.5862	21.42761	-673.0598	21.741894
-157.58556	21.4276	-674.08875	21.80778
-157.58493	21.427591	-674.6371	21.873665
-157.58429	21.427584	-675.4601	21.93955
-157.58365	21.427574	-676.66846	22.005436
-157.58302	21.427565	-677.90533	22.071321
-157.58238	21.427557	-678.9935	22.137207
-157.58174	21.427547	-679.56775	22.203093
-157.5811	21.427538	-680.29724	22.268978
-157.58047	21.42753	-681.5228	22.334864
-157.57983	21.42752	-682.3906	22.40075
-157.5792	21.427511	-682.9165	22.466635
-157.57857	21.427504	-683.492	22.53252
-157.57793	21.427494	-684.0704	22.598406
-157.57729	21.427485	-684.6501	22.664291
-157.57664	21.427477	-685.2003	22.730177
-157.57602	21.427467	-685.7662	22.796062
-157.57538	21.427458	-686.79614	22.861948
-157.57474	21.42745	-687.9738	22.927834
-157.57411	21.42744	-688.6365	22.99372
-157.57347	21.427431	-689.1415	23.059605
-157.57283	21.427423	-689.68604	23.12549
-157.57219	21.427414	-690.601	23.191376
-157.57156	21.427404	-691.8043	23.257261
-157.57092	21.427395	-692.5475	23.323147
-157.57028	21.427387	-693.06696	23.389032
-157.56966	21.427378	-693.61664	23.454918
-157.56902	21.427368	-694.3913	23.520803
-157.56837	21.42736	-695.5059	23.586689
-157.56775	21.427351	-696.70593	23.652575
-157.56711	21.427341	-697.8452	23.71846
-157.56647	21.427334	-698.4797	23.784346
-157.56583	21.427324	-699.28174	23.850231
-157.5652	21.427315	-700.9242	23.916117
-157.56456	21.427307	-702.68866	23.982002
-157.56392	21.427298	-704.428	24.047888
-157.5633	21.427288	-706.7364	24.113773
-157.56265	21.42728	-709.22186	24.179659
-157.56201	21.42727	-710.8491	24.245544
-157.56137	21.427261	-712.9594	24.31143
-157.56075	21.427254	-716.5216	24.377316
-157.5601	21.427244	-720.76196	24.443201
-157.55946	21.427235	-718.00415	24.509087
-157.55884	21.427227	-718.31757	24.574972
-157.5582	21.427217	-719.52686	24.640858
-157.55756	21.427208	-708.0704	24.706743
-157.55692	21.4272	-704.96497	24.772629
-157.55629	21.42719	-698.3366	24.838514
-157.55565	21.427181	-699.1521	24.9044
-157.55501	21.427172	-699.6782	24.970285
-157.55438	21.427164	-699.8558	25.036171
-157.55374	21.427155	-699.9639	25.102057
-157.5531	21.427145	-699.4845	25.167942
-157.55246	21.427137	-696.0937	25.233828
-157.55183	21.427128	-720.01764	25.299713
-157.5512	21.427118	-730.73987	25.365599
-157.55055	21.42711	-730.06525	25.431484
-157.54993	21.427101	-727.2409	25.49737
-157.54929	21.427092	-726.4388	25.563255
-157.54865	21.427084	-725.2175	25.62914
-157.54802	21.427074	-724.30023	25.695026
-157.54738	21.427065	-723.7978	25.760912
-157.54674	21.427057	-723.50464	25.826797
-157.5461	21.427048	-723.29816	25.892683
-157.54547	21.427038	-722.9691	25.958569
-157.54483	21.42703	-722.9933	26.024454
-157.54419	21.427021	-723.5051	26.09034
-157.54356	21.427011	-723.2653	26.156225
-157.54292	21.427004	-722.5577	26.22211
-157.54228	21.426994	-722.5341	26.287996
