"tag_id","tagging_date","fork_length_cm","status","days_at_liberty","n_detections","mean_detections_per_day","unique_days","distance_tracked","mean_distance_per_day","n_stations","movements_detected","meacount_movements_per_day","total_brfa_crossings","in_to_out","out_to_in","days_tracked_in","days_tracked_out","mean_brfa_movements_per_day","max_polygon_area","max_linear_distance","z_constrained_path_distance","data_density"
"2149",2018-01-09 17:12:00,45.5,"Excluded From Analysis",1,3,3,1,1.31,1.31,1,1,1,0,0,0,0.11,0,0,NA,1.31255943384593,4.707,1
"2150",2018-01-09 17:15:00,41.5,"Dead",96,8448,88,90,207.93,2.1659375,12,106,1.10416666666667,0,0,0,94.95,0,0,26.6488965522231,6.92690173330556,8.527,0.9375
"2152",2018-01-10 12:49:00,42,"Dead",88,739,8.39772727272727,17,178.45,2.02784090909091,11,153,1.73863636363636,4,2,2,86.99,0.13,0.0454545454545455,4.70738035009462,5.74054787183705,6.132,0.193181818181818
"2154",2018-01-10 12:54:00,50,"Excluded From Analysis",6,380,63.3333333333333,6,117.13,19.5216666666667,9,91,15.1666666666667,0,0,0,5,0,0,8.64373951574516,6.85361943259748,7.061,1
"2155",2018-01-10 13:11:00,66,"Excluded From Analysis",1,1,1,1,0.48,0.48,1,1,1,0,0,0,0.03,0,0,NA,0.483552263504651,1.621,1
"2156",2018-01-10 14:04:00,49,"Excluded From Analysis",5,197,39.4,5,37.15,7.43,6,15,3,0,0,0,4.32,0,0,0,10.4736347185818,10.723,1
"2157",2018-01-10 14:58:00,52.5,"Alive",66,515,7.8030303030303,35,102.8,1.55757575757576,7,54,0.818181818181818,18,9,9,36.14,28.41,0.272727272727273,5.510121205019,4.04366537610113,8.531,0.53030303030303
"2158",2018-01-10 15:19:00,44,"Dead",94,11,0.117021276595745,6,0.56,0.00595744680851064,1,1,0.0106382978723404,0,0,0,92.38,0,0,NA,0.55776869318158,1.706,0.0638297872340425
"2159",2018-01-10 16:47:00,45,"Excluded From Analysis",6,194,32.3333333333333,6,46.06,7.67666666666667,5,20,3.33333333333333,0,0,0,4.37,0,0,4.5056634097724,6.22068858721607,6.131,1
"28166",2018-01-11 17:36:00,47,"Excluded From Analysis",7,999,142.714285714286,7,264.3,37.7571428571429,10,243,34.7142857142857,9,5,4,2.73,3.47,1.28571428571429,4.67787722370625,6.01912985098074,9.374,1
"28169",2018-01-11 16:13:00,52,"Dead",94,3667,39.0106382978723,83,96.19,1.02329787234043,9,64,0.680851063829787,10,5,5,92.35,0.36,0.106382978723404,2.78852571799421,8.24483222754526,8.485,0.882978723404255
