dates,species,caught,sold,value,price_per_pound,inflated_ppp,inflated_dollar,inflated_value,month
7.1265e+05,0,8784.3,8755.1,4079.4,0.48143,4.4075,0.53177,37347,3
7.1268e+05,0,8705.9,8693.1,3994.6,0.42429,3.8844,0.53177,36570,4
7.1271e+05,0,6305.7,6291.1,2366.6,0.35,3.2043,0.53177,21666,5
7.1274e+05,0,5337.3,5314.7,1998,0.35143,3.2173,0.53177,18292,6
7.1277e+05,0,4830.9,4807,1942.6,0.43571,3.989,0.53177,17784,7
7.128e+05,0,2555.6,2513.4,1258.6,0.41571,3.8059,0.53177,11522,8
7.1283e+05,0,5520.9,5494,2254.3,0.41,3.7536,0.53177,20638,9
7.1286e+05,0,4251.9,4236,1865.4,0.37143,3.4004,0.53177,17078,10
7.1289e+05,0,8175.7,8148.9,3291.6,0.40571,3.7143,0.53177,30134,11
7.1292e+05,0,4304.9,4266.3,2392,0.52143,4.7737,0.53177,21899,12
7.1295e+05,0,10116,10101,4647.7,0.48857,4.3885,0.54049,41747,1
7.1298e+05,0,8370.3,8350.7,3538.7,0.45714,4.1062,0.54049,31786,2
7.1301e+05,0,6407.9,6403.7,3181,0.52286,4.6965,0.54049,28573,3
7.1304e+05,0,6299.9,6220.9,2660,0.47857,4.2987,0.54049,23893,4
7.1308e+05,0,5845.9,5830.7,2867.4,0.43714,3.9265,0.54049,25756,5
7.1311e+05,0,5957.9,5938.3,2547.6,0.42714,3.8367,0.54049,22883,6
7.1314e+05,0,8178.3,8153.3,3396,0.40857,3.6699,0.54049,30504,7
7.1317e+05,0,5134.7,5116,2477,0.40429,3.6314,0.54049,22249,8
7.132e+05,0,7211.3,7200.7,3033.6,0.39714,3.5673,0.54049,27248,9
7.1323e+05,0,6991.4,6988.7,2817.6,0.44143,3.965,0.54049,25308,10
7.1326e+05,0,6584,6594.9,2700.7,0.45714,4.1062,0.54049,24259,11
7.1329e+05,0,8885.9,8873.1,3845.7,0.49429,4.4398,0.54049,34543,12
7.1332e+05,0,7464.6,7235.1,3202.4,0.49,4.3684,0.53857,28550,1
7.1335e+05,0,6771,6768,2906.7,0.45429,4.05,0.53857,25913,2
7.1338e+05,0,5455.4,5426.1,2412.3,0.45,4.0118,0.53857,21506,3
7.1341e+05,0,5961.9,5969.3,2736.1,0.46429,4.1391,0.53857,24393,4
7.1344e+05,0,4344.4,4113.7,2104.7,0.49714,4.432,0.53857,18764,5
7.1347e+05,0,6625.6,6615.6,2872.3,0.48857,4.3556,0.53857,25606,6
7.135e+05,0,7112.4,7104.1,3196.7,0.46,4.1009,0.53857,28499,7
7.1353e+05,0,4239.1,4228.1,2090.6,0.50571,4.5085,0.53857,18637,8
7.1356e+05,0,5369.1,5351.4,2609.9,0.47714,4.2537,0.53857,23267,9
7.1359e+05,0,4141.7,4129.1,2072.6,0.48857,4.3556,0.53857,18477,10
7.1362e+05,0,3934.7,3933,1774.3,0.45571,4.0627,0.53857,15818,11
7.1365e+05,0,9933.4,9928.9,4635.9,0.47714,4.2537,0.53857,41329,12
