Longitude	Latitude	Elevation, m	Distance (km)
-157.60684	21.407663	-650.119	9.644632
-157.60652	21.407663	-649.2815	9.677549
-157.6062	21.407663	-648.415	9.710466
-157.60588	21.407663	-647.55225	9.743383
-157.60556	21.407663	-646.72675	9.7763
-157.60524	21.407663	-645.9596	9.809217
-157.60493	21.407663	-645.2398	9.842134
-157.60461	21.407663	-644.55524	9.8750515
-157.6043	21.407663	-643.89746	9.9079685
-157.60397	21.407663	-643.27094	9.940886
-157.60365	21.407663	-642.67316	9.973803
-157.60333	21.407663	-642.0927	10.00672
-157.60303	21.407663	-641.4927	10.039637
-157.6027	21.407663	-640.88135	10.072554
-157.60239	21.407663	-640.3415	10.105471
-157.60207	21.407663	-639.95593	10.138388
-157.60175	21.407663	-639.73376	10.171305
-157.60143	21.407663	-639.6201	10.204222
-157.60112	21.407663	-639.5659	10.237139
-157.6008	21.407663	-639.5401	10.270056
-157.60048	21.407663	-639.56647	10.302973
-157.60016	21.407663	-639.6801	10.33589
-157.59984	21.407663	-639.91907	10.368807
-157.59952	21.407663	-640.2944	10.401724
-157.59921	21.407663	-640.7575	10.434641
-157.59889	21.407663	-641.24713	10.467558
-157.59857	21.407663	-641.76874	10.500475
-157.59825	21.407663	-642.33496	10.533392
-157.59793	21.407663	-642.8906	10.566309
-157.59761	21.407663	-643.4052	10.599226
-157.59729	21.407663	-643.9003	10.632143
-157.59698	21.407663	-644.3557	10.66506
-157.59666	21.407663	-644.72656	10.697977
-157.59634	21.407663	-644.9188	10.730894
-157.59602	21.407663	-645.01227	10.763811
-157.5957	21.407663	-645.23444	10.796728
-157.59538	21.407663	-645.7255	10.829645
-157.59508	21.407663	-646.4206	10.862562
-157.59476	21.407663	-647.20264	10.895479
-157.59444	21.407663	-634.4573	10.928396
-157.59412	21.407663	-634.5014	10.961313
-157.5938	21.407663	-633.8584	10.99423
-157.59348	21.407663	-632.323	11.027147
-157.59317	21.407663	-642.6331	11.060064
-157.59285	21.407663	-644.56384	11.092981
-157.59253	21.407663	-644.3905	11.125898
-157.59221	21.407663	-643.7703	11.158815
-157.59189	21.407663	-642.51776	11.191732
